Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Produção
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,30284614
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,1035894
03/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,2579528
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,23256284
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,3269805
03/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,984850
02/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,48253941
02/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4341628
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,48133080
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,265318
02/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,3220283
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,22891364
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,697560
02/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1245041
01/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54872097
01/2021,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,4574465
01/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,48277826
01/2021,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4277392
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,25472565
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,1081649
01/2021,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,2300860
12/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GASOLINA A COMUM,54142533
12/2020,BRASKEM S/A,42150391000170,NORDESTE,Bahia,CAMACARI,GLP,5553530
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A COMUM,49010980
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GASOLINA A PREMIUM,65531
12/2020,BRASKEM S/A,42150391003862,SUL,Rio Grande do Sul,TRIUNFO,GLP,4018725
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A COMUM,21915659
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GASOLINA A PREMIUM,825821
12/2020,BRASKEM S/A,42150391005059,SUDESTE,São Paulo,SANTO ANDRE,GLP,1812700
